transaction_id,customer_id,category,item,price_per_unit,quantity,total_spent,payment_method,transaction_date,discount_applied,year,month,month_name,average_transaction_value,discount_status
Txn_6867343,Cust_09,Patisserie,Item_10_Pat,18.5,10,185.0,Digital Wallet,2024-04-08,1,2024,4,April,18.5,Discount Applied
Txn_3731986,Cust_22,Milk Products,Item_17_Milk,29.0,9,261.0,Digital Wallet,2023-07-23,1,2023,7,July,29.0,Discount Applied
Txn_9303719,Cust_02,Butchers,Item_12_But,21.5,2,43.0,Credit Card,2022-10-05,0,2022,10,October,21.5,No Discount
Txn_9458126,Cust_06,Beverages,Item_16_Bev,27.5,9,247.5,Credit Card,2022-05-07,0,2022,5,May,27.5,No Discount
Txn_4575373,Cust_05,Food,Item_6_Food,12.5,7,87.5,Digital Wallet,2022-10-02,0,2022,10,October,12.5,No Discount
Txn_7482416,Cust_09,Patisserie,Unknown,23.0,10,230.0,Credit Card,2023-11-30,0,2023,11,November,23.0,No Discount
Txn_3652209,Cust_07,Food,Item_1_Food,5.0,8,40.0,Credit Card,2023-06-10,1,2023,6,June,5.0,Discount Applied
Txn_1372952,Cust_21,Furniture,Unknown,33.5,6,201.0,Digital Wallet,2024-04-02,1,2024,4,April,33.5,Discount Applied
Txn_9728486,Cust_23,Furniture,Item_16_Fur,27.5,1,27.5,Credit Card,2023-04-26,0,2023,4,April,27.5,No Discount
Txn_2722661,Cust_25,Butchers,Item_22_But,36.5,3,109.5,Cash,2024-03-14,0,2024,3,March,36.5,No Discount
Txn_8776416,Cust_22,Butchers,Item_3_But,8.0,9,72.0,Cash,2024-12-14,1,2024,12,December,8.0,Discount Applied
Txn_5422631,Cust_09,Milk Products,Unknown,21.5,8,172.0,Digital Wallet,2025-01-12,1,2025,1,January,21.5,Discount Applied
Txn_5874772,Cust_23,Food,Item_2_Food,6.5,7,45.5,Cash,2023-09-09,1,2023,9,September,6.5,Discount Applied
Txn_4413070,Cust_14,Patisserie,Item_24_Pat,39.5,6,237.0,Digital Wallet,2022-05-20,0,2022,5,May,39.5,No Discount
Txn_2490363,Cust_09,Milk Products,Item_16_Milk,27.5,2,55.0,Digital Wallet,2022-05-22,0,2022,5,May,27.5,No Discount
Txn_1809665,Cust_14,Beverages,Unknown,24.5,6,147.0,Credit Card,2022-05-11,0,2022,5,May,24.5,No Discount
Txn_7563311,Cust_23,Patisserie,Item_17_Pat,29.0,8,232.0,Cash,2024-11-16,1,2024,11,November,29.0,Discount Applied
Txn_9634894,Cust_15,Milk Products,Unknown,21.5,10,215.0,Digital Wallet,2022-04-17,0,2022,4,April,21.5,No Discount
Txn_4396807,Cust_17,Electric Household Essentials,Item_13_Ehe,23.0,1,23.0,Digital Wallet,2022-02-07,0,2022,2,February,23.0,No Discount
Txn_4206593,Cust_01,Furniture,Unknown,35.0,6,210.0,Digital Wallet,2025-01-13,0,2025,1,January,35.0,No Discount
Txn_9939063,Cust_14,Beverages,Item_7_Bev,14.0,9,126.0,Digital Wallet,2024-01-14,0,2024,1,January,14.0,No Discount
Txn_8685338,Cust_15,Milk Products,Unknown,21.5,3,64.5,Credit Card,2023-10-29,0,2023,10,October,21.5,No Discount
Txn_6547964,Cust_10,Electric Household Essentials,Item_4_Ehe,9.5,7,66.5,Cash,2022-08-15,0,2022,8,August,9.5,No Discount
Txn_3314099,Cust_04,Food,Item_10_Food,18.5,1,18.5,Cash,2023-09-30,0,2023,9,September,18.5,No Discount
Txn_9980736,Cust_13,Furniture,Item_14_Fur,24.5,2,49.0,Cash,2023-08-29,0,2023,8,August,24.5,No Discount
Txn_3481599,Cust_05,Furniture,Unknown,39.5,6,237.0,Cash,2022-09-08,0,2022,9,September,39.5,No Discount
Txn_9057609,Cust_18,Butchers,Item_20_But,33.5,4,134.0,Credit Card,2022-03-16,1,2022,3,March,33.5,Discount Applied
Txn_1599706,Cust_14,Furniture,Item_25_Fur,41.0,10,410.0,Credit Card,2024-03-24,1,2024,3,March,41.0,Discount Applied
Txn_1598860,Cust_08,Food,Item_14_Food,24.5,10,245.0,Cash,2022-10-23,1,2022,10,October,24.5,Discount Applied
Txn_7138501,Cust_18,Patisserie,Item_22_Pat,36.5,5,182.5,Credit Card,2022-03-10,0,2022,3,March,36.5,No Discount
Txn_5444504,Cust_05,Food,Item_11_Food,20.0,10,200.0,Digital Wallet,2022-04-26,0,2022,4,April,20.0,No Discount
Txn_4353295,Cust_22,Patisserie,Item_6_Pat,12.5,8,100.0,Credit Card,2022-04-05,1,2022,4,April,12.5,Discount Applied
Txn_1543244,Cust_20,Food,Unknown,23.0,8,184.0,Credit Card,2024-10-25,1,2024,10,October,23.0,Discount Applied
Txn_1494700,Cust_12,Electric Household Essentials,Item_21_Ehe,35.0,9,315.0,Credit Card,2024-03-07,0,2024,3,March,35.0,No Discount
Txn_1621497,Cust_06,Patisserie,Unknown,23.0,6,138.0,Cash,2023-02-18,0,2023,2,February,23.0,No Discount
Txn_6398436,Cust_15,Beverages,Item_25_Bev,41.0,7,287.0,Credit Card,2024-06-03,1,2024,6,June,41.0,Discount Applied
Txn_9065245,Cust_02,Food,Item_23_Food,38.0,2,76.0,Digital Wallet,2024-03-10,0,2024,3,March,38.0,No Discount
Txn_6963438,Cust_11,Furniture,Item_10_Fur,18.5,5,92.5,Credit Card,2024-04-23,1,2024,4,April,18.5,Discount Applied
Txn_8312797,Cust_14,Beverages,Item_11_Bev,20.0,5,100.0,Digital Wallet,2022-06-03,0,2022,6,June,20.0,No Discount
Txn_5836005,Cust_19,Butchers,Item_23_But,38.0,5,190.0,Credit Card,2024-10-19,0,2024,10,October,38.0,No Discount
Txn_4223250,Cust_16,Beverages,Item_22_Bev,36.5,7,255.5,Cash,2023-05-31,1,2023,5,May,36.5,Discount Applied
Txn_1019817,Cust_16,Electric Household Essentials,Item_10_Ehe,18.5,5,92.5,Cash,2022-08-01,0,2022,8,August,18.5,No Discount
Txn_1110407,Cust_25,Butchers,Item_24_But,39.5,7,276.5,Digital Wallet,2022-10-21,0,2022,10,October,39.5,No Discount
Txn_6276518,Cust_24,Beverages,Item_8_Bev,15.5,3,46.5,Cash,2024-04-08,0,2024,4,April,15.5,No Discount
Txn_4740738,Cust_25,Food,Item_3_Food,8.0,1,8.0,Digital Wallet,2022-04-19,0,2022,4,April,8.0,No Discount
Txn_9587232,Cust_20,Food,Item_12_Food,21.5,5,107.5,Digital Wallet,2023-02-28,1,2023,2,February,21.5,Discount Applied
Txn_6404316,Cust_04,Computers And Electric Accessories,Item_16_Cea,27.5,6,165.0,Credit Card,2022-04-06,0,2022,4,April,27.5,No Discount
Txn_9331642,Cust_12,Patisserie,Item_11_Pat,20.0,4,80.0,Credit Card,2022-07-06,1,2022,7,July,20.0,Discount Applied
Txn_9729422,Cust_13,Butchers,Item_16_But,27.5,6,165.0,Credit Card,2024-12-31,1,2024,12,December,27.5,Discount Applied
Txn_8425168,Cust_25,Milk Products,Item_16_Milk,27.5,7,192.5,Cash,2022-03-12,0,2022,3,March,27.5,No Discount
Txn_5379241,Cust_05,Butchers,Item_20_But,33.5,10,335.0,Credit Card,2023-04-12,0,2023,4,April,33.5,No Discount
Txn_8413369,Cust_23,Computers And Electric Accessories,Item_5_Cea,11.0,6,66.0,Credit Card,2024-03-09,1,2024,3,March,11.0,Discount Applied
Txn_4836321,Cust_21,Food,Item_12_Food,21.5,10,215.0,Digital Wallet,2023-01-14,0,2023,1,January,21.5,No Discount
Txn_9451794,Cust_24,Milk Products,Item_19_Milk,32.0,3,96.0,Credit Card,2024-01-28,0,2024,1,January,32.0,No Discount
Txn_8218431,Cust_01,Furniture,Item_23_Fur,38.0,5,190.0,Digital Wallet,2023-04-29,0,2023,4,April,38.0,No Discount
Txn_2383377,Cust_15,Furniture,Item_7_Fur,14.0,3,42.0,Digital Wallet,2023-04-02,0,2023,4,April,14.0,No Discount
Txn_7909783,Cust_12,Computers And Electric Accessories,Item_5_Cea,11.0,1,11.0,Credit Card,2023-12-17,1,2023,12,December,11.0,Discount Applied
Txn_5046007,Cust_07,Computers And Electric Accessories,Item_15_Cea,26.0,9,234.0,Cash,2024-07-22,1,2024,7,July,26.0,Discount Applied
Txn_6966182,Cust_02,Furniture,Item_16_Fur,27.5,9,247.5,Cash,2024-09-06,0,2024,9,September,27.5,No Discount
Txn_3424571,Cust_09,Milk Products,Item_6_Milk,12.5,7,87.5,Credit Card,2023-01-13,0,2023,1,January,12.5,No Discount
Txn_6820452,Cust_10,Computers And Electric Accessories,Item_24_Cea,39.5,8,316.0,Credit Card,2023-04-18,0,2023,4,April,39.5,No Discount
Txn_1998771,Cust_25,Milk Products,Item_16_Milk,27.5,3,82.5,Digital Wallet,2024-11-07,1,2024,11,November,27.5,Discount Applied
Txn_1132097,Cust_24,Patisserie,Item_11_Pat,20.0,9,180.0,Credit Card,2023-05-18,1,2023,5,May,20.0,Discount Applied
Txn_5418871,Cust_04,Computers And Electric Accessories,Item_22_Cea,36.5,7,255.5,Cash,2022-03-16,0,2022,3,March,36.5,No Discount
Txn_6952276,Cust_01,Food,Item_22_Food,36.5,10,365.0,Credit Card,2024-08-02,1,2024,8,August,36.5,Discount Applied
Txn_6340470,Cust_17,Butchers,Item_2_But,6.5,6,39.0,Credit Card,2022-10-12,0,2022,10,October,6.5,No Discount
Txn_5885894,Cust_01,Patisserie,Item_14_Pat,24.5,10,245.0,Credit Card,2022-02-09,0,2022,2,February,24.5,No Discount
Txn_3671271,Cust_18,Patisserie,Item_12_Pat,21.5,8,172.0,Cash,2023-11-27,0,2023,11,November,21.5,No Discount
Txn_2719047,Cust_03,Butchers,Item_20_But,33.5,4,134.0,Credit Card,2023-11-21,0,2023,11,November,33.5,No Discount
Txn_9908330,Cust_19,Food,Item_18_Food,30.5,4,122.0,Credit Card,2022-09-29,1,2022,9,September,30.5,Discount Applied
Txn_2016332,Cust_17,Patisserie,Item_1_Pat,5.0,6,30.0,Digital Wallet,2022-12-17,1,2022,12,December,5.0,Discount Applied
Txn_7363165,Cust_25,Beverages,Item_4_Bev,9.5,7,66.5,Digital Wallet,2023-03-25,0,2023,3,March,9.5,No Discount
Txn_1260450,Cust_25,Furniture,Item_22_Fur,36.5,10,365.0,Digital Wallet,2023-12-24,1,2023,12,December,36.5,Discount Applied
Txn_6315447,Cust_21,Patisserie,Item_7_Pat,14.0,9,126.0,Digital Wallet,2025-01-12,0,2025,1,January,14.0,No Discount
Txn_5973228,Cust_12,Beverages,Item_7_Bev,14.0,6,84.0,Digital Wallet,2023-12-25,1,2023,12,December,14.0,Discount Applied
Txn_2780662,Cust_02,Milk Products,Item_19_Milk,32.0,10,320.0,Digital Wallet,2023-01-19,0,2023,1,January,32.0,No Discount
Txn_1142481,Cust_02,Beverages,Item_22_Bev,36.5,6,219.0,Cash,2023-02-07,1,2023,2,February,36.5,Discount Applied
Txn_3933685,Cust_09,Computers And Electric Accessories,Item_20_Cea,33.5,10,335.0,Credit Card,2022-04-15,0,2022,4,April,33.5,No Discount
Txn_8955685,Cust_24,Food,Item_20_Food,33.5,2,67.0,Digital Wallet,2023-04-24,0,2023,4,April,33.5,No Discount
Txn_1061030,Cust_20,Computers And Electric Accessories,Item_22_Cea,36.5,4,146.0,Digital Wallet,2024-07-14,1,2024,7,July,36.5,Discount Applied
Txn_7821493,Cust_07,Patisserie,Item_17_Pat,29.0,10,290.0,Credit Card,2024-12-17,0,2024,12,December,29.0,No Discount
Txn_8114453,Cust_10,Electric Household Essentials,Item_21_Ehe,35.0,2,70.0,Digital Wallet,2023-05-09,0,2023,5,May,35.0,No Discount
Txn_8024803,Cust_09,Furniture,Item_11_Fur,20.0,8,160.0,Digital Wallet,2024-08-22,0,2024,8,August,20.0,No Discount
Txn_4532214,Cust_25,Patisserie,Unknown,15.5,6,93.0,Credit Card,2024-03-25,0,2024,3,March,15.5,No Discount
Txn_5062634,Cust_04,Patisserie,Item_25_Pat,41.0,2,82.0,Credit Card,2023-07-06,1,2023,7,July,41.0,Discount Applied
Txn_8244728,Cust_08,Food,Item_7_Food,14.0,1,14.0,Credit Card,2024-04-27,0,2024,4,April,14.0,No Discount
Txn_3858145,Cust_17,Furniture,Item_21_Fur,35.0,3,105.0,Digital Wallet,2023-04-01,0,2023,4,April,35.0,No Discount
Txn_2646301,Cust_18,Furniture,Item_24_Fur,39.5,9,355.5,Credit Card,2022-12-07,0,2022,12,December,39.5,No Discount
Txn_2414530,Cust_24,Milk Products,Item_8_Milk,15.5,8,124.0,Cash,2024-06-20,0,2024,6,June,15.5,No Discount
Txn_8322008,Cust_22,Food,Item_4_Food,9.5,3,28.5,Cash,2024-08-20,0,2024,8,August,9.5,No Discount
Txn_3035546,Cust_19,Beverages,Item_14_Bev,24.5,2,49.0,Credit Card,2023-07-12,1,2023,7,July,24.5,Discount Applied
Txn_7296720,Cust_18,Patisserie,Item_4_Pat,9.5,5,47.5,Cash,2024-09-12,0,2024,9,September,9.5,No Discount
Txn_8414071,Cust_20,Patisserie,Item_12_Pat,21.5,9,193.5,Cash,2023-05-02,1,2023,5,May,21.5,Discount Applied
Txn_5705131,Cust_19,Milk Products,Item_4_Milk,9.5,4,38.0,Digital Wallet,2024-03-27,1,2024,3,March,9.5,Discount Applied
Txn_5938028,Cust_18,Computers And Electric Accessories,Item_7_Cea,14.0,1,14.0,Digital Wallet,2023-02-20,1,2023,2,February,14.0,Discount Applied
